Country Name,Country Code,Series Name,Series Code,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,AFG,Battle-related deaths (number of people),VC.BTL.DETH,5249,1478,3302,4276,4071,8937,5516,3100,6396,6294,4626,5235,5145,729,693,705,1631,4742,6778,5550,5206,6228,7202,7433,8056,12250,0
Albania,ALB,Battle-related deaths (number of people),VC.BTL.DETH,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,DZA,Battle-related deaths (number of people),VC.BTL.DETH,0,0,34,257,800,1916,3008,1084,1403,3029,1016,931,642,538,670,397,217,255,472,339,505,236,267,256,147,107,0
Angola,AGO,Battle-related deaths (number of people),VC.BTL.DETH,2810,2558,526,2321,12054,3974,162,72,50,1075,2272,943,1123,511,0,37,0,0,25,0,25,0,0,0,0,0,0
Arab World,ARB,Battle-related deaths (number of people),VC.BTL.DETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70998,0
Armenia,ARM,Battle-related deaths (number of people),VC.BTL.DETH,0,0,0,85,37,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0
Azerbaijan,AZE,Battle-related deaths (number of people),VC.BTL.DETH,0,0,35,2082,1197,1447,44,0,29,34,0,0,0,0,0,0,87,0,0,30,0,0,0,15,0,46,0
Bangladesh,BGD,Battle-related deaths (number of people),VC.BTL.DETH,26,45,25,35,0,0,0,0,0,0,0,0,0,0,0,0,62,57,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,BIH,Battle-related deaths (number of people),VC.BTL.DETH,0,0,0,4973,7245,2688,1350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,BDI,Battle-related deaths (number of people),VC.BTL.DETH,0,0,272,61,0,56,254,531,639,621,524,1348,1182,1170,972,387,286,141,0,201,0,0,0,0,0,0,0
Cambodia,KHM,Battle-related deaths (number of people),VC.BTL.DETH,814,274,220,118,274,464,694,788,426,232,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
Cameroon,CMR,Battle-related deaths (number of people),VC.BTL.DETH,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,828,0
Central African Republic,CAF,Battle-related deaths (number of people),VC.BTL.DETH,0,0,0,0,0,0,0,0,0,0,0,0,234,131,0,0,0,45,0,0,86,48,48,45,356,17,0
Chad,TCD,Battle-related deaths (number of people),VC.BTL.DETH,50,652,68,899,120,161,0,0,97,34,394,989,226,295,37,50,100,1250,69,991,135,4,0,0,0,0,0
China,CHN,Battle-related deaths (number of people),VC.BTL.DETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,2,0,0,0,0,0,0
Colombia,COL,Battle-related deaths (number of people),VC.BTL.DETH,236,474,725,758,195,1123,823,1192,554,938,933,1017,1072,1200,500,1234,1389,502,314,199,377,419,202,211,140,113,0
Comoros,COM,Battle-related deaths (number of people),VC.BTL.DETH,29,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Congo, Dem. Rep.",ZAR,Battle-related deaths (number of people),VC.BTL.DETH,0,0,0,0,0,0,0,1389,4591,3356,3282,1473,486,76,0,0,0,177,632,767,1978,300,242,737,1530,0,0
"Congo, Rep.",COG,Battle-related deaths (number of people),VC.BTL.DETH,0,0,0,0,53,25,0,0,10000,3272,651,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0
Cote d'Ivoire,CIV,Battle-related deaths (number of people),VC.BTL.DETH,0,8,0,0,0,0,0,0,0,0,0,0,0,624,139,47,0,0,0,0,0,0,35,0,0,0,0
Croatia,HRV,Battle-related deaths (number of people),VC.BTL.DETH,0,0,0,142,345,0,818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti,DJI,Battle-related deaths (number of people),VC.BTL.DETH,6,60,59,129,33,39,0,0,0,0,25,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0
East Asia & Pacific (all income levels),EAS,Battle-related deaths (number of people),VC.BTL.DETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,711,1222,0,0,0,0,0,0
East Asia & Pacific (developing only),EAP,Battle-related deaths (number of people),VC.BTL.DETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,711,1222,0,0,0,0,0,0
Ecuador,ECU,Battle-related deaths (number of people),VC.BTL.DETH,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0
"Egypt, Arab Rep.",EGY,Battle-related deaths (number of people),VC.BTL.DETH,0,0,0,0,103,145,187,85,66,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0
El Salvador,SLV,Battle-related deaths (number of people),VC.BTL.DETH,4925,848,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea,ERI,Battle-related deaths (number of people),VC.BTL.DETH,0,0,0,0,0,0,0,0,31,10,32203,25000,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,ETH,Battle-related deaths (number of people),VC.BTL.DETH,24358,49698,12227,165,36,75,29,52,0,1040,15729,25050,40,50,50,50,83,50,177,50,515,151,51,50,77,25,0
Fragile and conflict affected situations,FCS,Battle-related deaths (number of people),VC.BTL.DETH,0,0,0,0,0,15514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16734,31449,65068,0,0
Georgia,GEO,Battle-related deaths (number of people),VC.BTL.DETH,0,0,59,802,1763,0,0,0,0,0,0,0,0,0,0,27,0,0,0,621,0,0,0,0,0,0,0
Germany,DEU,Battle-related deaths (number of people),VC.BTL.DETH,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,GTM,Battle-related deaths (number of people),VC.BTL.DETH,81,72,64,66,58,33,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,GIN,Battle-related deaths (number of people),VC.BTL.DETH,0,0,0,0,0,0,0,0,0,0,0,217,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau,GNB,Battle-related deaths (number of people),VC.BTL.DETH,0,0,0,2,0,0,0,0,0,505,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti,HTI,Battle-related deaths (number of people),VC.BTL.DETH,48,0,200,0,0,0,0,0,0,0,0,0,0,0,0,244,0,0,0,0,0,0,0,0,0,0,0
India,IND,Battle-related deaths (number of people),VC.BTL.DETH,990,2314,3149,3072,1503,1172,836,816,963,799,2024,2808,1142,1797,1502,1384,1382,1372,1084,1071,1115,1029,433,409,384,439,0
Indonesia,IDN,Battle-related deaths (number of people),VC.BTL.DETH,84,72,58,39,0,0,0,0,51,30,213,286,278,458,478,738,213,0,0,0,0,0,0,0,0,0,0
"Iran, Islamic Rep.",IRN,Battle-related deaths (number of people),VC.BTL.DETH,0,31,44,25,143,0,0,34,33,0,19,40,112,0,0,0,28,55,72,117,133,74,205,0,0,0,0
Iraq,IRQ,Battle-related deaths (number of people),VC.BTL.DETH,50,94,22335,327,118,108,587,580,1910,149,277,53,7,0,7927,4094,2608,3936,2217,2200,1043,1144,944,651,1881,11933,0
Israel,ISR,Battle-related deaths (number of people),VC.BTL.DETH,5,18,16,31,47,44,35,66,0,0,0,77,218,413,307,361,119,375,272,665,682,27,56,64,0,1665,0
Kenya,KEN,Battle-related deaths (number of people),VC.BTL.DETH,0,0,0,0,0,0,0,0,0,0,18,0,10,0,0,0,0,0,1,0,0,0,2,29,32,37,0
Kuwait,KWT,Battle-related deaths (number of people),VC.BTL.DETH,0,1058,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyz Republic,KGZ,Battle-related deaths (number of people),VC.BTL.DETH,0,0,0,0,0,0,0,0,0,0,14,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lao PDR,LAO,Battle-related deaths (number of people),VC.BTL.DETH,30,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon,LBN,Battle-related deaths (number of people),VC.BTL.DETH,753,753,40,89,124,82,73,95,82,54,41,0,0,0,0,0,0,774,0,0,0,0,0,0,0,126,0
Liberia,LBR,Battle-related deaths (number of people),VC.BTL.DETH,27,339,0,0,5,0,0,0,0,0,0,57,341,492,1787,0,0,0,0,0,0,0,0,0,0,0,0
Libya,LBY,Battle-related deaths (number of people),VC.BTL.DETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1930,0,0,322,0
Low & middle income,LMY,Battle-related deaths (number of people),VC.BTL.DETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33970,0,0,0,0,0,0
Lower middle income,LMC,Battle-related deaths (number of people),VC.BTL.DETH,13894,14396,13399,15432,0,0,0,10473,18877,13857,6954,10818,7058,6316,5427,6705,2667,0,0,0,0,0,8226,24068,54981,70653,0
"Macedonia, FYR",MKD,Battle-related deaths (number of people),VC.BTL.DETH,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,MYS,Battle-related deaths (number of people),VC.BTL.DETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0
Mali,MLI,Battle-related deaths (number of people),VC.BTL.DETH,0,203,0,0,0,106,0,0,0,0,0,0,0,0,0,0,12,0,39,112,126,28,18,218,803,175,0
