state,name,population,size,priority-industry,priority-oil,priority-trans,importance,listorder,top15,top25,bombs,modern,lat,lon,popflag,calculated_priority,output_planes,output_tanks,output_guns,output_trucks,output_steel,output_crude_oil,output_oil_refining,output_aluminum,output_copper,output_zinc,output_nickel,output_lead
USSR,Alma Ata,400000,13.1,3,0,0,Ammunition manufacture.,15,,,4,"Almaty, Kazakhstan",43.2220146,76.8512485,,1,,,,,,,,,,,,
USSR,Archangel,281000,11,3,0,2,Lumber mills.,26,,,3,"Arkhangelsk, Russia",64.5472507,40.5601553,,3,,,,,,,,,,,,
USSR,Astrakhan,254000,4.8,3,0,2,Shipbuilding.,30,,,1,"Astrakhan, Russia",46.323611,48.036667,,3,,,,,,,,,,,,
USSR,Baku,809000,7,3,1,2,"61% of crude oil output, 49% of oil refining, 1% of steel output, machinebuilding.",4,1,1,2,"Baku, Azerbaijan",40.4092617,49.8670924,,8,,,,61,1,,49,,,,,
USSR,Batum,71000,3.9,3,2,2,10% of oil refining.,57,,,1,"Batumi, Georgia",41.638611,41.637222,,5,,,,,,,10,,,,,
USSR,Belostok,110000,6,3,0,3,Textile mills.,51,,,2,"Bialystok, Poland",53.1324886,23.1688403,,2,,,,,,,,,,,,
USSR,Brest Litovsk,50000,4.5,3,0,2,Rail center.,61,,,1,"Brest, Belarus",52.133333,23.666667,,3,,,,,,,,,,,,
USSR,Chelyabinsk,550000,11.5,1,0,1,"13% of tank output, 44% of zinc output, ferroalloy smelting, machinebuilding.",8,1,1,3,"Chelyabinsk, Russia",55.1644419,61.4368431,,8,,13,,,,,,,,44,,
USSR,Chimkent,74000,13.4,2,0,0,48% of lead output.,56,,,4,"Shymkent, Kazakhstan",42.3416847,69.590101,,2,,,,,,,,,,,,48
USSR,Chkalov,173000,10.2,3,0,3,2% of plane output.,39,,,3,"Orenburg, Russia",51.7666482,55.1004538,,2,2,,,,,,,,,,,
USSR,Dnepropetrovsk,300000,9.2,3,0,2,Steel mill.,22,,,3,"Dnipropetrovsk, Ukraine",48.464717,35.046183,,3,,,,,1,,,,,,,
USSR,Gorki,644000,13.5,1,3,2,"11% of plane output, 24% of tank output, 45% of gun output, 43% of truck output, oil refinery, machinebuilding.",6,1,1,4,"Gorki, Russia",56.5823131,39.3892009,,8,11,24,45,43,,,1,,,,,
USSR,Grozny,172000,1.3,3,1,0,"11% of oil refining, 6% of crude oil output, machinebuilding.",40,1,1,1,"Grozny, Russia",43.3168796,45.6814856,,6,,,,,,,,,,,,
USSR,Gurev,33000,4,0,3,3,Oil refinery.,62,,,1,"Atyrau, Kazakhstan",47.116667,51.883333,,2,,,,,,,1,,,,,
USSR,Irkutsk,243000,11.5,2,0,3,"3% of plane output, gun manufacture, steel manufacture.",35,,1,3,"Irkutsk, Russia",52.2869741,104.3050183,,4,3,,1,,,,,,,,,
USSR,Ishimbaevo,26000,4,0,3,0,2% of oil refining.,64,,,1,"Ishimbay, Russia",53.45,56.033333,1,1,,,,,,,2,,,,,
USSR,Ivanovo,285000,16.2,3,0,3,Textile mills.,25,,,4,"Ivanovo, Russia",57.0050671,40.9766453,,2,,,1,,,,,,,,,
USSR,Izhevsk,176000,7.5,3,0,0,"Gun manufacture, machinebuilding.",38,,,2,"Izhevsk, Russia",56.833333,53.183333,,1,,,1,,,,,,,,,
USSR,Kamensk,50900,4,1,0,3,75% of aluminum output.,60,,,1,"Kamensk-Uralsky, Russia",56.4,61.933333,,4,,,,,,,,75,,,,
USSR,Kazan,402000,20,1,0,2,13% of plane output.,14,1,1,5,"Kazan, Russia",55.790278,49.134722,,7,13,,,,,,,,,,,
USSR,Kemerovo,133000,5,2,0,0,"Gun manufature, giant nitrogen plant.",47,,,2,"Kemerovo, Russia",55.3450231,86.0623044,,2,,,1,,,,,,,,,
USSR,Khabarovsk,275000,10,3,2,2,"1% of oil refining, machinebuilding.",27,,1,3,"Khabarovsk, Russia",48.5027313,135.0662599,,6,,,,,,,1,,,,,
