name,country,now_country,notes,in_possession,lat,lon,points_towards
Adak,United States of America,United States of America,"Adak is the westernmost municipality in the United States, and part of the Aleutian Islands in Alaska.",1,51.88,-176.6580556,"54.9,131.7"
Bremen,West Germany,Germany,,1,53.0792962,8.8016937,"55.9,35.2"
Crete,Greece,Greece,,0,35.240117,24.8092691,"50.8,60.3"
Dhahran,Saudi Arabia,Saudi Arabia,,0,26.2361248,50.0393017,"42.2,67.1"
Foggia,Italy,Italy,,1,41.4621984,15.5446302,"41.4,69.1"
Lahore,India,Pakistan,"In 1945, Lahore was still part of India. In 1947, as part of the Partition of India, it became part of the sovereign state of Pakistan.",0,31.5546061,74.3571581,"55.4,83.5"
Nome,United States of America,United States of America,,1,64.5011111,-165.4063889,"70.1,119.9"
Okinawa,Japan,Japan,,1,26.2124013,127.6809317,"52.2,104.5"
Shimushir,Japan/USSR,Russia,"Shimushir is an uninhabited island in the center of the Kuril Islands. The Kurils were claimed by Japan prior and during World War II, but were seized by the Soviet Union in 1945. They are currently under the control of Russia, but are the subject of on-going dispute between Russia and Japan.",0,46.97,152.03,"62.2,113.7"
Stavanger,Norway,Norway,,0,58.9699756,5.7331073,"59.9342802,30.3350986"
