Date,Open,High,Low,Close,Volume,Adjusted Close
2015-12-18,3767.91,3767.91,3767.91,3767.91,0.0,3767.91
2015-12-17,3755.89,3755.89,3755.89,3755.89,0.0,3755.89
2015-12-16,3685.44,3685.44,3685.44,3685.44,0.0,3685.44
2015-12-15,3694.39,3694.39,3694.39,3694.39,0.0,3694.39
2015-12-14,3711.32,3711.32,3711.32,3711.32,0.0,3711.32
2015-12-11,3608.06,3608.06,3608.06,3608.06,0.0,3608.06
2015-12-10,3623.08,3623.08,3623.08,3623.08,0.0,3623.08
2015-12-09,3635.94,3635.94,3635.94,3635.94,0.0,3635.94
2015-12-08,3623.02,3623.02,3623.02,3623.02,0.0,3623.02
2015-12-07,3687.61,3687.61,3687.61,3687.61,0.0,3687.61
2015-12-04,3677.59,3677.59,3677.59,3677.59,0.0,3677.59
2015-12-03,3749.3,3749.3,3749.3,3749.3,0.0,3749.3
2015-12-02,3721.96,3721.96,3721.96,3721.96,0.0,3721.96
2015-12-01,3591.7,3591.7,3591.7,3591.7,0.0,3591.7
2015-11-30,3566.41,3566.41,3566.41,3566.41,0.0,3566.41
2015-11-27,3556.99,3556.99,3556.99,3556.99,0.0,3556.99
2015-11-26,3759.43,3759.43,3759.43,3759.43,0.0,3759.43
2015-11-25,3781.61,3781.61,3781.61,3781.61,0.0,3781.61
2015-11-24,3753.89,3753.89,3753.89,3753.89,0.0,3753.89
2015-11-23,3753.33,3753.33,3753.33,3753.33,0.0,3753.33
2015-11-20,3774.38,3774.38,3774.38,3774.38,0.0,3774.38
2015-11-19,3774.97,3774.97,3774.97,3774.97,0.0,3774.97
2015-11-18,3715.58,3715.58,3715.58,3715.58,0.0,3715.58
2015-11-17,3758.39,3758.39,3758.39,3758.39,0.0,3758.39
2015-11-16,3764.13,3764.13,3764.13,3764.13,0.0,3764.13
2015-11-13,3746.24,3746.24,3746.24,3746.24,0.0,3746.24
2015-11-12,3795.32,3795.32,3795.32,3795.32,0.0,3795.32
2015-11-11,3833.65,3833.65,3833.65,3833.65,0.0,3833.65
2015-11-10,3833.24,3833.24,3833.24,3833.24,0.0,3833.24
2015-11-09,3840.35,3840.35,3840.35,3840.35,0.0,3840.35
2015-11-06,3793.37,3793.37,3793.37,3793.37,0.0,3793.37
2015-11-05,3705.97,3705.97,3705.97,3705.97,0.0,3705.97
2015-11-04,3628.54,3628.54,3628.54,3628.54,0.0,3628.54
2015-11-03,3465.49,3465.49,3465.49,3465.49,0.0,3465.49
2015-11-02,3475.96,3475.96,3475.96,3475.96,0.0,3475.96
2015-10-30,3534.08,3534.08,3534.08,3534.08,0.0,3534.08
2015-10-29,3533.31,3533.31,3533.31,3533.31,0.0,3533.31
2015-10-28,3524.92,3524.92,3524.92,3524.92,0.0,3524.92
2015-10-27,3592.88,3592.88,3592.88,3592.88,0.0,3592.88
2015-10-26,3589.26,3589.26,3589.26,3589.26,0.0,3589.26
2015-10-23,3571.24,3571.24,3571.24,3571.24,0.0,3571.24
2015-10-22,3524.53,3524.53,3524.53,3524.53,0.0,3524.53
2015-10-21,3473.25,3473.25,3473.25,3473.25,0.0,3473.25
2015-10-20,3577.7,3577.7,3577.7,3577.7,0.0,3577.7
2015-10-19,3534.18,3534.18,3534.18,3534.18,0.0,3534.18
2015-10-16,3534.06,3534.06,3534.06,3534.06,0.0,3534.06
2015-10-15,3486.81,3486.81,3486.81,3486.81,0.0,3486.81
2015-10-14,3406.11,3406.11,3406.11,3406.11,0.0,3406.11
2015-10-13,3445.04,3445.04,3445.04,3445.04,0.0,3445.04
2015-10-12,3447.69,3447.69,3447.69,3447.69,0.0,3447.69
2015-10-09,3340.12,3340.12,3340.12,3340.12,0.0,3340.12
2015-10-08,3296.48,3296.48,3296.48,3296.48,0.0,3296.48
2015-09-30,3202.95,3202.95,3202.95,3202.95,0.0,3202.95
2015-09-29,3178.85,3178.85,3178.85,3178.85,0.0,3178.85
2015-09-28,3242.75,3242.75,3242.75,3242.75,0.0,3242.75
2015-09-25,3231.95,3231.95,3231.95,3231.95,0.0,3231.95
2015-09-24,3285.0,3285.0,3285.0,3285.0,0.0,3285.0
2015-09-23,3263.03,3263.03,3263.03,3263.03,0.0,3263.03
2015-09-22,3339.03,3339.03,3339.03,3339.03,0.0,3339.03
2015-09-21,3308.25,3308.25,3308.25,3308.25,0.0,3308.25
2015-09-18,3251.27,3251.27,3251.27,3251.27,0.0,3251.27
2015-09-17,3237.0,3237.0,3237.0,3237.0,0.0,3237.0
2015-09-16,3309.25,3309.25,3309.25,3309.25,0.0,3309.25
2015-09-15,3152.23,3152.23,3152.23,3152.23,0.0,3152.23
2015-09-14,3281.13,3281.13,3281.13,3281.13,0.0,3281.13
2015-09-11,3347.19,3347.19,3347.19,3347.19,0.0,3347.19
2015-09-10,3357.56,3357.56,3357.56,3357.56,0.0,3357.56
2015-09-09,3399.3,3399.3,3399.3,3399.3,0.0,3399.3
2015-09-08,3334.02,3334.02,3334.02,3334.02,0.0,3334.02
2015-09-07,3250.49,3250.49,3250.49,3250.49,0.0,3250.49
2015-09-03,3365.83,3365.83,3365.83,3365.83,0.0,3365.83
2015-09-02,3365.83,3365.83,3365.83,3365.83,0.0,3365.83
2015-09-01,3362.08,3362.08,3362.08,3362.08,0.0,3362.08
2015-08-31,3366.54,3366.54,3366.54,3366.54,0.0,3366.54
2015-08-28,3342.29,3342.29,3342.29,3342.29,0.0,3342.29
2015-08-27,3205.64,3205.64,3205.64,3205.64,0.0,3205.64
2015-08-26,3025.69,3025.69,3025.69,3025.69,0.0,3025.69
2015-08-25,3042.93,3042.93,3042.93,3042.93,0.0,3042.93
2015-08-24,3275.53,3275.53,3275.53,3275.53,0.0,3275.53
2015-08-21,3589.54,3589.54,3589.54,3589.54,0.0,3589.54
2015-08-20,3761.45,3761.45,3761.45,3761.45,0.0,3761.45
2015-08-19,3886.14,3886.14,3886.14,3886.14,0.0,3886.14
2015-08-18,3825.41,3825.41,3825.41,3825.41,0.0,3825.41
2015-08-17,4077.87,4077.87,4077.87,4077.87,0.0,4077.87
2015-08-14,4073.54,4073.54,4073.54,4073.54,0.0,4073.54
2015-08-13,4075.46,4075.46,4075.46,4075.46,0.0,4075.46
2015-08-12,4016.13,4016.13,4016.13,4016.13,0.0,4016.13
2015-08-11,4066.67,4066.67,4066.67,4066.67,0.0,4066.67
2015-08-10,4084.36,4084.36,4084.36,4084.36,0.0,4084.36
2015-08-07,3906.95,3906.95,3906.95,3906.95,0.0,3906.95
2015-08-06,3831.85,3831.85,3831.85,3831.85,0.0,3831.85
2015-08-05,3866.9,3866.9,3866.9,3866.9,0.0,3866.9
2015-08-04,3948.16,3948.16,3948.16,3948.16,0.0,3948.16
2015-08-03,3829.24,3829.24,3829.24,3829.24,0.0,3829.24
2015-07-31,3816.7,3816.7,3816.7,3816.7,0.0,3816.7
2015-07-30,3815.41,3815.41,3815.41,3815.41,0.0,3815.41
2015-07-29,3930.38,3930.38,3930.38,3930.38,0.0,3930.38
2015-07-28,3811.09,3811.09,3811.09,3811.09,0.0,3811.09
2015-07-27,3818.73,3818.73,3818.73,3818.73,0.0,3818.73
2015-07-24,4176.28,4176.28,4176.28,4176.28,0.0,4176.28
2015-07-23,4250.81,4250.81,4250.81,4250.81,0.0,4250.81
2015-07-22,4157.16,4157.16,4157.16,4157.16,0.0,4157.16
2015-07-21,4166.01,4166.01,4166.01,4166.01,0.0,4166.01
2015-07-20,4160.61,4160.61,4160.61,4160.61,0.0,4160.61
2015-07-17,4151.5,4151.5,4151.5,4151.5,0.0,4151.5
2015-07-16,3997.36,3997.36,3997.36,3997.36,0.0,3997.36
2015-07-15,3966.76,3966.76,3966.76,3966.76,0.0,3966.76
2015-07-14,4112.15,4112.15,4112.15,4112.15,0.0,4112.15
2015-07-13,4211.81,4211.81,4211.81,4211.81,0.0,4211.81
2015-07-10,4106.56,4106.56,4106.56,4106.56,0.0,4106.56
2015-07-09,3897.63,3897.63,3897.63,3897.63,0.0,3897.63
2015-07-08,3663.04,3663.04,3663.04,3663.04,0.0,3663.04
2015-07-07,3928.0,3928.0,3928.0,3928.0,0.0,3928.0
2015-07-06,3998.54,3998.54,3998.54,3998.54,0.0,3998.54
2015-07-03,3885.92,3885.92,3885.92,3885.92,0.0,3885.92
2015-07-02,4108.0,4108.0,4108.0,4108.0,0.0,4108.0
2015-07-01,4253.02,4253.02,4253.02,4253.02,0.0,4253.02
2015-06-30,4473.0,4473.0,4473.0,4473.0,0.0,4473.0
2015-06-29,4191.55,4191.55,4191.55,4191.55,0.0,4191.55
2015-06-26,4336.19,4336.19,4336.19,4336.19,0.0,4336.19
2015-06-25,4706.52,4706.52,4706.52,4706.52,0.0,4706.52
2015-06-24,4880.13,4880.13,4880.13,4880.13,0.0,4880.13
2015-06-23,4786.09,4786.09,4786.09,4786.09,0.0,4786.09
2015-06-19,4637.05,4637.05,4637.05,4637.05,0.0,4637.05
2015-06-18,4930.55,4930.55,4930.55,4930.55,0.0,4930.55
2015-06-17,5138.83,5138.83,5138.83,5138.83,0.0,5138.83
2015-06-16,5064.82,5064.82,5064.82,5064.82,0.0,5064.82
2015-06-15,5221.17,5221.17,5221.17,5221.17,0.0,5221.17
2015-06-12,5335.12,5335.12,5335.12,5335.12,0.0,5335.12
2015-06-11,5306.59,5306.59,5306.59,5306.59,0.0,5306.59
2015-06-10,5309.11,5309.11,5309.11,5309.11,0.0,5309.11
2015-06-09,5317.46,5317.46,5317.46,5317.46,0.0,5317.46
2015-06-08,5353.75,5353.75,5353.75,5353.75,0.0,5353.75
2015-06-05,5230.55,5230.55,5230.55,5230.55,0.0,5230.55
2015-06-04,5181.42,5181.42,5181.42,5181.42,0.0,5181.42
2015-06-03,5143.59,5143.59,5143.59,5143.59,0.0,5143.59
2015-06-02,5161.87,5161.87,5161.87,5161.87,0.0,5161.87
2015-06-01,5076.18,5076.18,5076.18,5076.18,0.0,5076.18
2015-05-29,4840.83,4840.83,4840.83,4840.83,0.0,4840.83
2015-05-28,4834.01,4834.01,4834.01,4834.01,0.0,4834.01
2015-05-27,5181.43,5181.43,5181.43,5181.43,0.0,5181.43
2015-05-26,5198.92,5198.92,5198.92,5198.92,0.0,5198.92
2015-05-25,5099.5,5099.5,5099.5,5099.5,0.0,5099.5
2015-05-22,4951.33,4951.33,4951.33,4951.33,0.0,4951.33
2015-05-21,4840.98,4840.98,4840.98,4840.98,0.0,4840.98
2015-05-20,4754.92,4754.92,4754.92,4754.92,0.0,4754.92
2015-05-19,4731.22,4731.22,4731.22,4731.22,0.0,4731.22
2015-05-18,4575.14,4575.14,4575.14,4575.14,0.0,4575.14
2015-05-15,4617.47,4617.47,4617.47,4617.47,0.0,4617.47
2015-05-14,4700.78,4700.78,4700.78,4700.78,0.0,4700.78
2015-05-13,4718.44,4718.44,4718.44,4718.44,0.0,4718.44
2015-05-12,4747.42,4747.42,4747.42,4747.42,0.0,4747.42
2015-05-11,4690.53,4690.53,4690.53,4690.53,0.0,4690.53
2015-05-08,4558.4,4558.4,4558.4,4558.4,0.0,4558.4
2015-05-07,4470.09,4470.09,4470.09,4470.09,0.0,4470.09
2015-05-06,4553.33,4553.33,4553.33,4553.33,0.0,4553.33
2015-05-05,4596.84,4596.84,4596.84,4596.84,0.0,4596.84
2015-05-04,4787.74,4787.74,4787.74,4787.74,0.0,4787.74
2015-04-30,4749.89,4749.89,4749.89,4749.89,0.0,4749.89
2015-04-29,4774.33,4774.33,4774.33,4774.33,0.0,4774.33
2015-04-28,4741.86,4741.86,4741.86,4741.86,0.0,4741.86
2015-04-27,4807.59,4807.59,4807.59,4807.59,0.0,4807.59
2015-04-24,4702.64,4702.64,4702.64,4702.64,0.0,4702.64
